Town,Box code,Street code,City
BARBERTON EXT 4,1300,1300,BARBERTON
BARBERTON UIT 4,1300,1300,BARBERTON
BARBERTON EXT 5,1300,1300,BARBERTON
BARBERTON UIT 5,1300,1300,BARBERTON
BARBERTON EXT 6,1300,1300,BARBERTON
BARBERTON UIT 6,1300,1300,BARBERTON
BARBERTON EXT 7,1300,1300,BARBERTON
BARBERTON UIT 7,1300,1300,BARBERTON
BARCELONA,1519,,DAVEYTON
BARCELONA,,6506,MOSSEL BAY
BARCELONA,7000,,DE AAR
BARCELONA,,7750,GUGULETU
BARCELONA,,5881,CRADOCK
BARCELONA,,6201,
BARCELONA EXT,1519,,DAVEYTON
BARCELONA UIT,1519,,DAVEYTON
BARCELONA EXT 26,1519,,DAVEYTON
BARCELONA UIT 26,1519,,DAVEYTON
BARDENE,1460,1459,BOKSBURG
BARDENE EXT 1,,1459,BOKSBURG
BARDENE UIT 1,,1459,BOKSBURG
BARDENE EXT 13,,1459,BOKSBURG
BARDENE UIT 13,,1459,BOKSBURG
BARDENE EXT 19,,1459,BOKSBURG
BARDENE UIT 19,,1459,BOKSBURG
BARDENE EXT 2,,1459,BOKSBURG
BARDENE UIT 2,,1459,BOKSBURG
